0.073,-204.601,0.663,-0.720,-76.501,-0.444
0.080,-207.279,0.604,-0.740,-73.482,-0.469
0.077,-206.001,0.546,-0.772,-69.930,-0.480
0.071,-201.915,0.487,-0.794,-66.824,-0.490
0.067,-196.490,0.430,-0.815,-62.807,-0.491
0.052,-193.708,0.406,-0.826,-59.990,-0.490
0.042,-189.131,0.357,-0.837,-58.844,-0.477
0.024,-185.019,0.325,-0.846,-57.785,-0.434
-0.010,-180.399,0.365,-0.846,-56.674,-0.375
-0.029,-175.805,0.405,-0.847,-54.530,-0.315
-0.037,-169.732,0.393,-0.852,-50.978,-0.268
-0.051,-162.908,0.349,-0.846,-45.299,-0.235
-0.103,-158.585,0.303,-0.835,-35.236,-0.195
-0.143,-157.202,0.243,-0.826,-22.960,-0.171
-0.171,-152.670,0.116,-0.824,-14.551,-0.171
-0.231,-147.280,-0.049,-0.812,-6.843,-0.161
-0.278,-143.098,-0.156,-0.781,-3.553,-0.139
-0.333,-139.256,-0.286,-0.754,-2.441,-0.131
-0.352,-136.351,-0.358,-0.717,-0.044,-0.133
-0.344,-134.426,-0.388,-0.682,3.868,-0.152
-0.306,-135.380,-0.433,-0.653,9.502,-0.173
-0.258,-134.059,-0.463,-0.613,19.854,-0.200
-0.192,-132.466,-0.486,-0.584,32.034,-0.230
-0.111,-133.201,-0.493,-0.548,40.565,-0.248
-0.041,-133.026,-0.488,-0.515,49.385,-0.247
0.037,-133.122,-0.477,-0.495,55.064,-0.228
0.107,-134.715,-0.498,-0.476,59.483,-0.206
0.150,-138.688,-0.560,-0.454,66.561,-0.180
0.184,-144.865,-0.646,-0.441,72.082,-0.150
0.193,-148.321,-0.685,-0.431,78.059,-0.102
0.198,-152.075,-0.684,-0.430,79.389,-0.049
0.186,-153.921,-0.628,-0.437,77.079,-0.009
0.172,-154.175,-0.564,-0.443,70.403,0.039
0.167,-152.766,-0.439,-0.450,62.230,0.072
0.166,-150.194,-0.328,-0.455,48.869,0.118
0.169,-145.101,-0.168,-0.452,37.529,0.150
0.176,-141.068,-0.062,-0.442,22.724,0.192
0.198,-136.325,0.070,-0.431,12.346,0.213
0.219,-133.271,0.145,-0.418,0.166,0.230
0.256,-131.416,0.183,-0.400,-7.411,0.230
0.287,-128.336,0.212,-0.389,-14.927,0.227
0.291,-125.974,0.227,-0.379,-24.028,0.214
0.301,-124.058,0.247,-0.374,-29.601,0.201
0.298,-122.622,0.272,-0.370,-35.884,0.177
0.291,-121.100,0.300,-0.367,-39.541,0.155
0.285,-121.485,0.308,-0.361,-43.566,0.130
0.274,-122.526,0.301,-0.361,-46.410,0.113
0.264,-123.664,0.305,-0.369,-50.610,0.104
0.252,-124.294,0.356,-0.381,-53.804,0.104
0.242,-124.276,0.409,-0.395,-56.963,0.113
0.230,-125.011,0.448,-0.397,-58.678,0.123
0.224,-126.210,0.459,-0.391,-59.605,0.141
0.206,-127.173,0.484,-0.389,-59.780,0.157
0.191,-127.689,0.503,-0.390,-59.272,0.177
0.168,-127.925,0.516,-0.390,-58.748,0.195
0.151,-128.818,0.539,-0.386,-57.269,0.215
0.131,-128.415,0.533,-0.387,-56.193,0.231
0.109,-127.514,0.518,-0.386,-54.924,0.257
0.077,-124.381,0.510,-0.376,-54.259,0.279
0.055,-121.765,0.503,-0.356,-53.480,0.291
0.025,-117.495,0.503,-0.337,-53.489,0.307
-0.004,-114.266,0.441,-0.304,-54.224,0.315
-0.040,-109.340,0.460,-0.278,-55.764,0.330
-0.063,-105.122,0.422,-0.233,-56.341,0.334
-0.076,-102.576,0.410,-0.192,-56.184,0.331
-0.082,-99.558,0.423,-0.171,-55.729,0.320
-0.079,-97.230,0.442,-0.160,-54.994,0.293
-0.079,-96.171,0.474,-0.152,-53.454,0.272
-0.066,-95.515,0.537,-0.137,-48.545,0.233
-0.042,-94.929,0.611,-0.128,-44.100,0.210
-0.026,-93.634,0.641,-0.103,-37.196,0.179
0.008,-93.616,0.689,-0.076,-31.509,0.149
0.022,-95.401,0.719,-0.046,-23.940,0.114
0.045,-97.921,0.775,-0.043,-19.276,0.098
0.053,-99.024,0.829,-0.058,-14.210,0.079
0.065,-100.450,0.882,-0.076,-11.034,0.072
0.064,-101.500,0.915,-0.093,-7.210,0.068
0.064,-102.497,0.970,-0.111,-4.279,0.066
0.062,-105.595,1.003,-0.121,-1.173,0.064
