"377736 	 1 	16 	32 	-7144 	
";20310756;1;1032;12;-7520
"377736 	 2 	-3744 	16388 	-5000 	
";20310756;2;-3016;16460;-5152
"404152 	 0 	-3772 	16432 	-4980 	
";20337792;0;-3016;16548;-5120
"404152 	 1 	64 	14988 	-7072 	
";20337792;1;1040;0;-7544
"404152 	 2 	-3920 	16352 	-5168 	
";20337792;2;-3028;16484;-5200
"430708 	 0 	-3932 	16392 	-5272 	
";20364576;0;-2976;16492;-5180
"430708 	 1 	4 	15004 	-8048 	
";20364576;1;320;128;-7552
"430708 	 2 	-3944 	16304 	-5340 	
";20364576;2;-2988;16496;-5140
"457196 	 0 	-4040 	16240 	-5304 	
";20391612;0;-3036;16556;-5068
"457196 	 1 	0 	14848 	-7928 	
";20391612;1;1104;0;-7164
"457196 	 2 	-4052 	16188 	-5292 	
";20391612;2;-3008;16464;-5076
"483676 	 0 	-4108 	16228 	-5320 	
";20418396;0;-3032;16548;-5116
"483676 	 1 	8 	15024 	-7808 	
";20418396;1;1028;0;-7136
"483676 	 2 	-3956 	16256 	-5204 	
";20418396;2;-2992;16516;-5144
"510168 	 0 	-3856 	16340 	-5180 	
";20445176;0;-2980;16516;-5028
"510168 	 1 	40 	15048 	-7136 	
";20445176;1;1024;32;-7096
"510168 	 2 	-3856 	16376 	-5068 	
";20445176;2;-2988;16484;-5088
"536712 	 0 	-3876 	16404 	-5016 	
";20472212;0;-3044;16488;-5088
"536712 	 1 	16 	15056 	-7128 	
";20472212;1;1024;8;-7168
"536712 	 2 	-3976 	16344 	-4968 	
";20472212;2;-3044;16472;-5096
"563256 	 0 	-4048 	16272 	-5064 	
";20498996;0;-2968;16512;-5076
"563256 	 1 	8 	15008 	-7932 	
";20498996;1;1032;72;-7536
"563256 	 2 	-4032 	16308 	-5304 	
";20498996;2;-2980;16480;-5004
"589736 	 0 	-4044 	16328 	-5296 	
";20526036;0;-3008;16496;-5108
"589736 	 1 	36 	14856 	-8184 	
";20526036;1;1024;40;-7136
"589736 	 2 	-4016 	16280 	-5308 	
";20526036;2;-3032;16496;-5160
"616272 	 0 	-4060 	16268 	-5192 	
";20553072;0;-3020;16504;-5124
"616272 	 1 	20 	14936 	-7936 	
";20553072;1;1064;64;-7544
"616272 	 2 	-3976 	16332 	-5204 	
";20553072;2;-3020;16456;-5108
"642808 	 0 	-3852 	16312 	-5056 	
";20580116;0;-2980;16476;-5024
"642808 	 1 	96 	15044 	-7136 	
";20580116;1;1056;32;-7480
"642808 	 2 	-3880 	16344 	-4960 	
";20580116;2;-2980;16392;-5148
"669376 	 0 	-3908 	16340 	-4928 	
";20607156;0;-2952;16552;-5164
"669376 	 1 	40 	4 	-6992 	
";20607156;1;1056;32;-7648
