Format Version,1.23,Take Name,sub01_boksz,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2021-10-20 02.40.08.022 DU.,Capture Start Frame,10077229,Total Frames in Take,1559,Total Exported Frames,1559,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
16,0.160000,-0.015627,-0.032877,-0.012458,-0.999260,0.266901,1.323027,1.112065,0.000192,0.303714,1.274771,1.142709,0.960641,0.219318,1.332092,1.046411,0.968621,0.277672,1.362216,1.147074,0.942374,-0.016450,-0.044948,-0.005721,-0.998838,0.272187,1.072417,1.061351,0.000144,0.231538,1.061291,1.015889,0.986107,0.307961,1.114426,1.110591,0.979536,0.277063,1.041535,1.057574,0.970638,,,,0.231514,1.061333,1.015876,0.307912,1.114357,1.110520,0.277136,1.041561,1.057657,0.303856,1.274707,1.142887,0.219262,1.332247,1.046405,0.277585,1.362126,1.146902
17,0.170000,-0.016786,-0.032317,-0.014833,-0.999227,0.264592,1.323413,1.110389,0.000076,0.301594,1.275254,1.140956,0.972857,0.217043,1.332421,1.044702,0.977178,0.275140,1.362566,1.145508,0.981907,-0.016630,-0.045828,-0.007419,-0.998783,0.270231,1.072716,1.059759,0.000089,0.229542,1.061473,1.014360,0.993048,0.305945,1.114821,1.108958,0.981596,0.275205,1.041852,1.055957,0.976492,,,,0.229523,1.061469,1.014340,0.305927,1.114760,1.108922,0.275242,1.041918,1.056014,0.301656,1.275244,1.141044,0.216993,1.332485,1.044661,0.275127,1.362511,1.145462
18,0.180000,-0.015334,-0.031856,-0.013309,-0.999286,0.262309,1.323691,1.108622,0.000147,0.299139,1.275514,1.139367,0.972857,0.214846,1.332644,1.042865,0.977178,0.272941,1.362917,1.143633,0.981907,-0.016231,-0.044669,-0.008043,-0.998838,0.268238,1.072959,1.058211,0.000128,0.227670,1.061633,1.012725,0.993048,0.303785,1.115144,1.107464,0.981596,0.273260,1.042099,1.054443,0.976492,,,,0.227657,1.061676,1.012723,0.303737,1.115084,1.107396,0.273321,1.042116,1.054513,0.299249,1.275481,1.139513,0.214793,1.332766,1.042846,0.272884,1.362827,1.143506
19,0.190000,-0.015302,-0.031329,-0.014671,-0.999284,0.260019,1.324016,1.106857,0.000141,0.296947,1.275937,1.137641,0.962476,0.212605,1.332842,1.041048,0.973153,0.270507,1.363269,1.141882,0.960097,-0.015644,-0.043969,-0.007620,-0.998881,0.266251,1.073247,1.056551,0.000106,0.225737,1.061900,1.011022,0.985028,0.301763,1.115463,1.105803,0.981443,0.271253,1.042379,1.052827,0.976447,,,,0.225711,1.061952,1.011010,0.301723,1.115428,1.105751,0.271319,1.042361,1.052892,0.297037,1.275884,1.137748,0.212588,1.332945,1.041074,0.270434,1.363219,1.141749
20,0.200000,-0.015297,-0.030356,-0.015498,-0.999302,0.257727,1.324309,1.105217,0.000113,0.294672,1.276288,1.136070,0.962476,0.210429,1.333063,1.039315,0.973153,0.268082,1.363576,1.140265,0.960097,-0.017492,-0.045155,-0.011533,-0.998760,0.264382,1.073464,1.054821,0.000130,0.223852,1.061988,1.009339,0.985028,0.299682,1.115754,1.104162,0.981443,0.269612,1.042650,1.050963,0.976447,,,,0.223895,1.061944,1.009371,0.299666,1.115676,1.104123,0.269584,1.042772,1.050971,0.294732,1.276284,1.136158,0.210414,1.333145,1.039335,0.268036,1.363497,1.140157
21,0.210000,-0.015393,-0.029178,-0.016603,-0.999318,0.255470,1.324520,1.103532,0.000102,0.292445,1.276570,1.134459,0.980815,0.208310,1.333192,1.037520,0.979383,0.265656,1.363800,1.138616,0.965046,-0.015512,-0.043190,-0.009108,-0.998905,0.262329,1.073707,1.053199,0.000101,0.221922,1.062234,1.007607,0.997005,0.297637,1.116033,1.102503,0.975722,0.267428,1.042853,1.049488,0.978332,,,,0.221929,1.062238,1.007616,0.297603,1.115962,1.102447,0.267455,1.042920,1.049536,0.292486,1.276574,1.134523,0.208317,1.333260,1.037565,0.265607,1.363727,1.138507
22,0.220000,-0.014758,-0.027969,-0.016419,-0.999365,0.253216,1.324797,1.101810,0.000135,0.290097,1.276871,1.132887,0.980815,0.206220,1.333403,1.035673,0.979383,0.263331,1.364116,1.136870,0.965046,-0.015230,-0.042978,-0.008921,-0.998920,0.260300,1.073858,1.051587,0.000088,0.219908,1.062373,1.005984,0.997005,0.295602,1.116200,1.100881,0.975722,0.265389,1.043000,1.047896,0.978332,,,,0.219869,1.062395,1.005950,0.295583,1.116162,1.100850,0.265447,1.043016,1.047961,0.290173,1.276848,1.132989,0.206218,1.333507,1.035723,0.263257,1.364035,1.136719
23,0.230000,-0.015008,-0.027109,-0.018081,-0.999356,0.250929,1.324983,1.100151,0.000123,0.287913,1.277159,1.131263,0.976444,0.204021,1.333476,1.033937,0.978179,0.260853,1.364313,1.135253,0.960387,-0.017732,-0.045092,-0.013001,-0.998741,0.258392,1.074147,1.049752,0.000052,0.217903,1.062581,1.004256,0.996136,0.293560,1.116509,1.099125,0.988371,0.263712,1.043351,1.045876,0.987281,,,,0.217912,1.062571,1.004264,0.293548,1.116471,1.099101,0.263714,1.043399,1.045892,0.287959,1.277178,1.131342,0.204018,1.333555,1.033973,0.260809,1.364215,1.135136
24,0.240000,-0.015170,-0.026896,-0.019307,-0.999337,0.248711,1.325203,1.098439,0.000141,0.285798,1.277457,1.129548,0.976444,0.201813,1.333609,1.032206,0.978179,0.258524,1.364543,1.133561,0.960387,-0.014492,-0.043381,-0.010157,-0.998902,0.256343,1.074271,1.048106,0.000109,0.215947,1.062621,1.002549,0.996136,0.291575,1.116771,1.097315,0.988371,0.261509,1.043421,1.044453,0.987281,,,,0.215991,1.062620,1.002596,0.291543,1.116721,1.097268,0.261496,1.043473,1.044455,0.285845,1.277490,1.129637,0.201809,1.333695,1.032244,0.258481,1.364424,1.133435
25,0.250000,-0.014690,-0.026747,-0.019960,-0.999335,0.246464,1.325442,1.096663,0.000168,0.283603,1.277774,1.127829,0.965988,0.199577,1.333725,1.030407,0.969899,0.256212,1.364828,1.131752,0.946658,-0.017397,-0.045516,-0.014054,-0.998713,0.254423,1.074476,1.046286,0.000095,0.213922,1.062797,1.000829,0.990337,0.289540,1.116942,1.095606,0.979472,0.259806,1.043689,1.042423,0.985169,,,,0.213949,1.062799,1.000857,0.289508,1.116885,1.095556,0.259811,1.043744,1.042444,0.283673,1.277791,1.127944,0.199568,1.333836,1.030451,0.256150,1.364699,1.131593
