Format Version,1.23,Take Name,sub01_karemeles,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2021-10-20 02.42.19.501 DU.,Capture Start Frame,10090377,Total Frames in Take,3881,Total Exported Frames,3881,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
16,0.160000,-0.078315,-0.106320,-0.017224,-0.991093,0.228459,1.320062,1.165931,0.000259,0.269349,1.269044,1.184585,0.955353,0.171665,1.336310,1.109653,0.958076,0.244363,1.354832,1.203556,0.997290,-0.017992,-0.037856,0.003692,-0.999114,0.229149,1.068001,1.104165,0.000070,0.188930,1.057755,1.058117,0.984736,0.265034,1.109208,1.153997,0.982866,0.233484,1.037039,1.100380,0.973254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.188907,1.057766,1.058095,0.265018,1.109171,1.153970,0.233523,1.037065,1.100428,0.269533,1.268888,1.184710,0.171522,1.336437,1.109560,0.244321,1.354860,1.203524
17,0.170000,-0.078634,-0.106435,-0.017973,-0.991043,0.228445,1.320091,1.165910,0.000173,0.269411,1.269117,1.184518,0.957331,0.171620,1.336302,1.109652,0.960451,0.244304,1.354854,1.203560,0.996092,-0.018056,-0.038015,0.003508,-0.999108,0.229113,1.067966,1.104224,0.000115,0.188883,1.057712,1.058187,0.985821,0.264998,1.109179,1.154051,0.980882,0.233458,1.037006,1.100433,0.973443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.188846,1.057740,1.058155,0.264968,1.109126,1.154005,0.233525,1.037030,1.100512,0.269530,1.269034,1.184608,0.171511,1.336386,1.109574,0.244294,1.354853,1.203548
18,0.180000,-0.078625,-0.106331,-0.017937,-0.991055,0.228416,1.320067,1.165941,0.000172,0.269374,1.269090,1.184559,0.957331,0.171604,1.336282,1.109672,0.960451,0.244270,1.354830,1.203594,0.996092,-0.018081,-0.037987,0.003515,-0.999109,0.229078,1.067930,1.104272,0.000114,0.188850,1.057679,1.058232,0.985821,0.264961,1.109140,1.154103,0.980882,0.233423,1.036971,1.100480,0.973443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.188807,1.057711,1.058195,0.264932,1.109092,1.154059,0.233494,1.036988,1.100561,0.269494,1.269012,1.184654,0.171491,1.336369,1.109590,0.244262,1.354821,1.203580
19,0.190000,-0.078571,-0.106224,-0.018019,-0.991069,0.228380,1.320021,1.165983,0.000192,0.269342,1.269052,1.184614,0.954436,0.171579,1.336222,1.109698,0.956418,0.244221,1.354790,1.203635,0.997803,-0.018218,-0.038288,0.003519,-0.999095,0.228991,1.067905,1.104309,0.000064,0.188735,1.057667,1.058291,0.990054,0.264905,1.109101,1.154130,0.989995,0.233334,1.036946,1.100506,0.983476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.188708,1.057677,1.058264,0.264893,1.109069,1.154109,0.233373,1.036968,1.100554,0.269469,1.268963,1.184710,0.171458,1.336310,1.109609,0.244215,1.354790,1.203629
20,0.200000,-0.078576,-0.106214,-0.018039,-0.991070,0.228333,1.319985,1.166018,0.000188,0.269296,1.269017,1.184649,0.954436,0.171532,1.336185,1.109733,0.956418,0.244171,1.354754,1.203672,0.997803,-0.018044,-0.038201,0.003400,-0.999101,0.228972,1.067854,1.104372,0.000105,0.188727,1.057590,1.058350,0.990054,0.264867,1.109076,1.154185,0.989995,0.233323,1.036895,1.100580,0.983476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.188682,1.057618,1.058310,0.264843,1.109031,1.154148,0.233392,1.036913,1.100658,0.269418,1.268924,1.184737,0.171420,1.336267,1.109650,0.244163,1.354764,1.203668
21,0.210000,-0.078547,-0.106105,-0.018223,-0.991080,0.228252,1.319930,1.166047,0.000146,0.269229,1.268977,1.184689,0.956765,0.171460,1.336109,1.109747,0.961122,0.244069,1.354705,1.203704,0.988780,-0.017466,-0.037902,0.004321,-0.999120,0.228877,1.067796,1.104444,0.000041,0.188639,1.057549,1.058412,0.996019,0.264818,1.109015,1.154227,0.990664,0.233174,1.036826,1.100693,0.993866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.188643,1.057563,1.058419,0.264800,1.108994,1.154202,0.233190,1.036832,1.100711,0.269351,1.268908,1.184791,0.171355,1.336202,1.109679,0.244052,1.354681,1.203670
22,0.220000,-0.078747,-0.105914,-0.018358,-0.991082,0.228158,1.319875,1.166074,0.000147,0.269137,1.268922,1.184710,0.956765,0.171384,1.336067,1.109759,0.961122,0.243953,1.354637,1.203752,0.988780,-0.017742,-0.037725,0.004230,-0.999122,0.228825,1.067768,1.104483,0.000046,0.188605,1.057541,1.058431,0.996019,0.264742,1.108965,1.154301,0.990664,0.233128,1.036800,1.100716,0.993866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.188586,1.057551,1.058413,0.264732,1.108944,1.154285,0.233158,1.036811,1.100750,0.269268,1.268851,1.184822,0.171276,1.336170,1.109692,0.243930,1.354605,1.203707
23,0.230000,-0.078831,-0.105765,-0.018409,-0.991091,0.228061,1.319837,1.166123,0.000146,0.269038,1.268883,1.184762,0.957630,0.171304,1.336036,1.109794,0.961175,0.243843,1.354593,1.203812,0.989550,-0.017439,-0.037401,0.004368,-0.999139,0.228764,1.067723,1.104533,0.000050,0.188571,1.057477,1.058461,0.991030,0.264659,1.108940,1.154349,0.993010,0.233061,1.036752,1.100788,0.986854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.188547,1.057492,1.058439,0.264649,1.108921,1.154332,0.233096,1.036756,1.100827,0.269157,1.268816,1.184863,0.171199,1.336127,1.109724,0.243828,1.354569,1.203782
24,0.240000,-0.078817,-0.105680,-0.018443,-0.991100,0.227959,1.319807,1.166150,0.000130,0.268935,1.268855,1.184798,0.957630,0.171211,1.336002,1.109811,0.961175,0.243732,1.354564,1.203842,0.989550,-0.017518,-0.037533,0.004064,-0.999134,0.228705,1.067656,1.104625,0.000055,0.188507,1.057395,1.058562,0.991030,0.264588,1.108886,1.154439,0.993010,0.233020,1.036688,1.100873,0.986854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.188488,1.057436,1.058552,0.264565,1.108880,1.154413,0.233062,1.036653,1.100909,0.269044,1.268800,1.184892,0.171113,1.336086,1.109745,0.243721,1.354535,1.203813
25,0.250000,-0.078763,-0.105477,-0.018437,-0.991126,0.227859,1.319777,1.166197,0.000119,0.268826,1.268826,1.184867,0.962357,0.171134,1.335967,1.109833,0.966718,0.243618,1.354538,1.203891,0.988154,-0.017721,-0.037646,0.003711,-0.999127,0.228632,1.067646,1.104676,0.000040,0.188431,1.057376,1.058617,0.995494,0.264497,1.108879,1.154501,0.990333,0.232968,1.036682,1.100910,0.994636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.188441,1.057384,1.058630,0.264480,1.108856,1.154476,0.232976,1.036697,1.100922,0.268932,1.268769,1.184958,0.171046,1.336050,1.109778,0.243600,1.354511,1.203856
