-449	8015	-1287	91	-214	-205	
-513	8027	-1338	86	-243	-215	
-546	8053	-1366	78	-270	-226	
-507	8022	-1322	55	-268	-240	
-538	8032	-1221	47	-242	-242	
-653	8021	-1038	69	-156	-243	
-742	7966	-968	106	-71	-235	
-806	7982	-970	161	-24	-217	
-1058	8069	-1131	192	55	-174	
-1233	8101	-1158	239	165	-97	
-1293	8085	-1256	222	357	-38	
-1641	8043	-1657	311	439	-70	
-1519	7886	-2066	450	394	-171	
-1088	7686	-2194	550	527	-316	
-1452	7351	-2568	625	849	-424	
-2868	7087	-2924	964	-350	-506	
-1593	7353	-3207	1160	-1650	-479	
-811	7391	-3254	941	-1422	-482	
-668	7456	-2989	516	-998	-491	
-475	7563	-2550	186	-761	-441	
482	8039	-1935	-126	-222	-289	
-713	8103	-527	116	11	10	
-692	8095	-525	106	1	11	
-728	8096	-517	99	-35	15	
-694	8103	-517	96	-59	18	
-676	8122	-590	77	-48	20	
-660	8120	-599	58	-55	21	
-683	8106	-585	43	-40	21	
-701	8097	-560	35	-42	27	
-670	8110	-446	8	7	43	
-552	8063	-226	-166	269	90	
-729	7986	-247	-185	459	75	
-330	8006	-371	-63	510	50	
-737	8080	-444	102	565	24	
-833	8121	-475	253	45	-8	
-484	8090	-261	358	-274	-53	
27	7968	362	518	-391	-99	
63	7773	1267	816	-236	-175	
96	7532	2637	1467	-242	-293	
-466	7574	3344	2441	-401	-421	
-982	9196	1958	3436	-726	-599	
-720	12265	501	4090	-792	-799	
-341	11175	-1120	4081	-278	-659	
-473	10279	-2965	3411	335	-207	
-1663	8324	-3011	1570	340	681	
-2028	6788	-2602	-751	-973	1185	
-343	6335	-2474	-2734	-1536	1390	
821	6358	-2844	-4576	159	1312	
45	6365	-3019	-5855	1750	843	
-1133	6650	-2595	-6422	2001	257	
-1516	7174	-1667	-6245	1110	-83	
-1058	7324	-846	-5474	464	-240	
-1180	6829	315	-4126	338	-226	
-928	6366	1079	-2140	-51	-53	
-332	6264	603	183	-502	95	
176	7602	1112	2036	-650	206	
248	11567	1737	2022	1468	31	
-518	7834	-860	2411	1956	154	
-863	8713	-2001	2227	1354	184	
-1845	8279	-1814	2080	395	315	
-690	8351	-1825	1919	-463	471	
-316	8227	-1940	1587	-20	468	
248	8404	-1921	1308	-621	428	
114	8426	-1673	1012	-558	365	
-189	8170	-924	789	-198	283	
66	7997	139	791	-600	278	
1932	7938	562	878	-738	263	
838	8106	-177	953	333	140	
-641	7818	-428	1271	-366	129	
119	7862	508	1641	-795	38	
562	7903	1006	2119	-652	6	
459	8410	652	2696	-930	37	
-1079	8901	231	3356	-1364	-80	
-2073	9601	-137	3944	-1314	-395	
-2001	10609	729	4385	-1089	-876	
-4077	11325	3597	4768	-967	-1221	
746	11437	3734	5068	-3405	-1607	
6516	10748	-3071	4016	2166	-1672	
-49	12379	-3892	2751	5478	-1333	
-1419	9380	-4530	738	1685	-1267	
2043	7652	-5474	-1657	-897	-1029	
1939	6319	-5737	-4122	-104	-720	
456	5661	-6069	-6513	-975	-555	
682	5384	-6559	-8485	-1569	-3	
777	6494	-5995	-9854	-578	576	
-282	8152	-5362	-10285	278	679	
-1034	7211	-4735	-9603	-161	905	
-346	6096	-3740	-7125	-727	1223	
859	3718	-2406	-2297	-679	1012	
1871	5418	-4840	2609	331	539	
259	13926	-503	2395	6917	-250	
-5729	7072	-4272	3101	6364	116	
-2476	10202	-5811	3350	2562	518	
-3282	8117	-4075	3035	-1285	513	
1806	8794	-3590	2636	-2225	594	
82	8360	-1943	1750	1100	471	
-537	8056	-783	1620	-593	350	
1594	8041	-498	1563	-339	237	
373	7976	-523	1486	1335	200	
-803	8025	-179	1721	623	158	
-54	8031	703	2079	50	137	
-356	7803	1764	2685	-502	165	
-607	8336	1243	3558	-1273	32	
-1469	9231	1102	4333	-896	-345	
-1985	10184	1209	5032	-591	-783	
-2886	12883	3717	5572	67	-1228	
-404	13217	3004	5819	-1335	-1440	
5333	11191	-4083	4097	2335	-1246	
-2373	12755	-4139	2080	4574	-709	
-2109	8839	-4878	-410	-335	-504	
1417	6507	-5653	-2818	-2071	-168	
1018	5720	-5970	-5208	-2147	199	
659	5741	-6329	-7344	-2039	450	
